Income,Limit,Rating,Cards,Age,Education,Own,Student,Married,Region,Balance
14.891,3606,283,2,34,11,No,No,Yes,South,333
106.025,6645,483,3,82,15,Yes,Yes,Yes,West,903
104.593,7075,514,4,71,11,No,No,No,West,580
148.924,9504,681,3,36,11,Yes,No,No,West,964
55.882,4897,357,2,68,16,No,No,Yes,South,331
80.18,8047,569,4,77,10,No,No,No,South,1151
20.996,3388,259,2,37,12,Yes,No,No,East,203
71.408,7114,512,2,87,9,No,No,No,West,872
15.125,3300,266,5,66,13,Yes,No,No,South,279
71.061,6819,491,3,41,19,Yes,Yes,Yes,East,1350
63.095,8117,589,4,30,14,No,No,Yes,South,1407
15.045,1311,138,3,64,16,No,No,No,South,0
80.616,5308,394,1,57,7,Yes,No,Yes,West,204
43.682,6922,511,1,49,9,No,No,Yes,South,1081
19.144,3291,269,2,75,13,Yes,No,No,East,148
20.089,2525,200,3,57,15,Yes,No,Yes,East,0
53.598,3714,286,3,73,17,Yes,No,Yes,East,0
36.496,4378,339,3,69,15,Yes,No,Yes,West,368
49.57,6384,448,1,28,9,Yes,No,Yes,West,891
42.079,6626,479,2,44,9,No,No,No,West,1048
17.7,2860,235,4,63,16,Yes,No,No,West,89
37.348,6378,458,1,72,17,Yes,No,No,South,968
20.103,2631,213,3,61,10,No,No,Yes,East,0
64.027,5179,398,5,48,8,No,No,Yes,East,411
10.742,1757,156,3,57,15,Yes,No,No,South,0
14.09,4323,326,5,25,16,Yes,No,Yes,East,671
42.471,3625,289,6,44,12,Yes,Yes,No,South,654
32.793,4534,333,2,44,16,No,No,No,East,467
186.634,13414,949,2,41,14,Yes,No,Yes,East,1809
26.813,5611,411,4,55,16,Yes,No,No,South,915
34.142,5666,413,4,47,5,Yes,No,Yes,South,863
28.941,2733,210,5,43,16,No,No,Yes,West,0
134.181,7838,563,2,48,13,Yes,No,No,South,526
31.367,1829,162,4,30,10,No,No,Yes,South,0
20.15,2646,199,2,25,14,Yes,No,Yes,West,0
23.35,2558,220,3,49,12,Yes,Yes,No,South,419
62.413,6457,455,2,71,11,Yes,No,Yes,South,762
30.007,6481,462,2,69,9,Yes,No,Yes,South,1093
11.795,3899,300,4,25,10,Yes,No,No,South,531
13.647,3461,264,4,47,14,No,No,Yes,South,344
34.95,3327,253,3,54,14,Yes,No,No,East,50
113.659,7659,538,2,66,15,No,Yes,Yes,East,1155
44.158,4763,351,2,66,13,Yes,No,Yes,West,385
36.929,6257,445,1,24,14,Yes,No,Yes,West,976
31.861,6375,469,3,25,16,Yes,No,Yes,South,1120
77.38,7569,564,3,50,12,Yes,No,Yes,South,997
19.531,5043,376,2,64,16,Yes,Yes,Yes,West,1241
44.646,4431,320,2,49,15,No,Yes,Yes,South,797
44.522,2252,205,6,72,15,No,No,Yes,West,0
43.479,4569,354,4,49,13,No,Yes,Yes,East,902
36.362,5183,376,3,49,15,No,No,Yes,East,654
39.705,3969,301,2,27,20,No,No,Yes,East,211
44.205,5441,394,1,32,12,No,No,Yes,South,607
16.304,5466,413,4,66,10,No,No,Yes,West,957
15.333,1499,138,2,47,9,Yes,No,Yes,West,0
32.916,1786,154,2,60,8,Yes,No,Yes,West,0
57.1,4742,372,7,79,18,Yes,No,Yes,West,379
76.273,4779,367,4,65,14,Yes,No,Yes,South,133
10.354,3480,281,2,70,17,No,No,Yes,South,333
51.872,5294,390,4,81,17,Yes,No,No,South,531
35.51,5198,364,2,35,20,Yes,No,No,West,631
21.238,3089,254,3,59,10,Yes,No,No,South,108
30.682,1671,160,2,77,7,Yes,No,No,South,0
14.132,2998,251,4,75,17,No,No,No,South,133
32.164,2937,223,2,79,15,Yes,No,Yes,East,0
12,4160,320,4,28,14,Yes,No,Yes,South,602
113.829,9704,694,4,38,13,Yes,No,Yes,West,1388
11.187,5099,380,4,69,16,Yes,No,No,East,889
27.847,5619,418,2,78,15,Yes,No,Yes,South,822
49.502,6819,505,4,55,14,No,No,Yes,South,1084
24.889,3954,318,4,75,12,No,No,Yes,South,357
58.781,7402,538,2,81,12,Yes,No,Yes,West,1103
22.939,4923,355,1,47,18,Yes,No,Yes,West,663
23.989,4523,338,4,31,15,No,No,No,South,601
16.103,5390,418,4,45,10,Yes,No,Yes,South,945
33.017,3180,224,2,28,16,No,No,Yes,East,29
30.622,3293,251,1,68,16,No,Yes,No,South,532
20.936,3254,253,1,30,15,Yes,No,No,West,145
110.968,6662,468,3,45,11,Yes,No,Yes,South,391
15.354,2101,171,2,65,14,No,No,No,West,0
27.369,3449,288,3,40,9,Yes,No,Yes,South,162
53.48,4263,317,1,83,15,No,No,No,South,99
23.672,4433,344,3,63,11,No,No,No,South,503
19.225,1433,122,3,38,14,Yes,No,No,South,0
43.54,2906,232,4,69,11,No,No,No,South,0
152.298,12066,828,4,41,12,Yes,No,Yes,West,1779
55.367,6340,448,1,33,15,No,No,Yes,South,815
11.741,2271,182,4,59,12,Yes,No,No,West,0
15.56,4307,352,4,57,8,No,No,Yes,East,579
59.53,7518,543,3,52,9,Yes,No,No,East,1176
20.191,5767,431,4,42,16,No,No,Yes,East,1023
48.498,6040,456,3,47,16,No,No,Yes,South,812
30.733,2832,249,4,51,13,No,No,No,South,0
16.479,5435,388,2,26,16,No,No,No,East,937
38.009,3075,245,3,45,15,Yes,No,No,East,0
14.084,855,120,5,46,17,Yes,No,Yes,East,0
14.312,5382,367,1,59,17,No,Yes,No,West,1380
26.067,3388,266,4,74,17,Yes,No,Yes,East,155
