Income,Limit,Rating,Cards,Age,Education,Own,Student,Married,Region,Balance
63.931,5728,435,3,28,14,Yes,No,Yes,East,581
35.864,4831,353,3,66,13,Yes,No,Yes,South,534
41.419,2120,184,4,24,11,Yes,Yes,No,South,156
92.112,4612,344,3,32,17,No,No,No,South,0
55.056,3155,235,2,31,16,No,No,Yes,East,0
19.537,1362,143,4,34,9,Yes,No,Yes,West,0
31.811,4284,338,5,75,13,Yes,No,Yes,South,429
56.256,5521,406,2,72,16,Yes,Yes,Yes,South,1020
42.357,5550,406,2,83,12,Yes,No,Yes,West,653
53.319,3000,235,3,53,13,No,No,No,West,0
12.238,4865,381,5,67,11,Yes,No,No,South,836
31.353,1705,160,3,81,14,No,No,Yes,South,0
63.809,7530,515,1,56,12,No,No,Yes,South,1086
13.676,2330,203,5,80,16,Yes,No,No,East,0
76.782,5977,429,4,44,12,No,No,Yes,West,548
25.383,4527,367,4,46,11,No,No,Yes,South,570
35.691,2880,214,2,35,15,No,No,No,East,0
29.403,2327,178,1,37,14,Yes,No,Yes,South,0
27.47,2820,219,1,32,11,Yes,No,Yes,West,0
27.33,6179,459,4,36,12,Yes,No,Yes,South,1099
34.772,2021,167,3,57,9,No,No,No,West,0
36.934,4270,299,1,63,9,Yes,No,Yes,South,283
76.348,4697,344,4,60,18,No,No,No,West,108
14.887,4745,339,3,58,12,No,No,Yes,East,724
121.834,10673,750,3,54,16,No,No,No,East,1573
30.132,2168,206,3,52,17,No,No,No,South,0
24.05,2607,221,4,32,18,No,No,Yes,South,0
22.379,3965,292,2,34,14,Yes,No,Yes,West,384
28.316,4391,316,2,29,10,Yes,No,No,South,453
58.026,7499,560,5,67,11,Yes,No,No,South,1237
10.635,3584,294,5,69,16,No,No,Yes,West,423
46.102,5180,382,3,81,12,No,No,Yes,East,516
58.929,6420,459,2,66,9,Yes,No,Yes,East,789
80.861,4090,335,3,29,15,Yes,No,Yes,West,0
158.889,11589,805,1,62,17,Yes,No,Yes,South,1448
30.42,4442,316,1,30,14,Yes,No,No,East,450
36.472,3806,309,2,52,13,No,No,No,East,188
23.365,2179,167,2,75,15,No,No,No,West,0
83.869,7667,554,2,83,11,No,No,No,East,930
58.351,4411,326,2,85,16,Yes,No,Yes,South,126
55.187,5352,385,4,50,17,Yes,No,Yes,South,538
124.29,9560,701,3,52,17,Yes,Yes,No,West,1687
28.508,3933,287,4,56,14,No,No,Yes,West,336
130.209,10088,730,7,39,19,Yes,No,Yes,South,1426
30.406,2120,181,2,79,14,No,No,Yes,East,0
23.883,5384,398,2,73,16,Yes,No,Yes,East,802
93.039,7398,517,1,67,12,No,No,Yes,East,749
50.699,3977,304,2,84,17,Yes,No,No,East,69
27.349,2000,169,4,51,16,Yes,No,Yes,East,0
10.403,4159,310,3,43,7,No,No,Yes,West,571
23.949,5343,383,2,40,18,No,No,Yes,East,829
73.914,7333,529,6,67,15,Yes,No,Yes,South,1048
21.038,1448,145,2,58,13,Yes,No,Yes,South,0
68.206,6784,499,5,40,16,Yes,Yes,No,East,1411
57.337,5310,392,2,45,7,Yes,No,No,South,456
10.793,3878,321,8,29,13,No,No,No,South,638
23.45,2450,180,2,78,13,No,No,No,South,0
10.842,4391,358,5,37,10,Yes,Yes,Yes,South,1216
51.345,4327,320,3,46,15,No,No,No,East,230
151.947,9156,642,2,91,11,Yes,No,Yes,East,732
24.543,3206,243,2,62,12,Yes,No,Yes,South,95
29.567,5309,397,3,25,15,No,No,No,South,799
39.145,4351,323,2,66,13,No,No,Yes,South,308
39.422,5245,383,2,44,19,No,No,No,East,637
34.909,5289,410,2,62,16,Yes,No,Yes,South,681
41.025,4229,337,3,79,19,Yes,No,Yes,South,246
15.476,2762,215,3,60,18,No,No,No,West,52
12.456,5395,392,3,65,14,No,No,Yes,South,955
10.627,1647,149,2,71,10,Yes,Yes,Yes,West,195
38.954,5222,370,4,76,13,Yes,No,No,South,653
44.847,5765,437,3,53,13,Yes,Yes,No,West,1246
98.515,8760,633,5,78,11,Yes,No,No,East,1230
33.437,6207,451,4,44,9,No,Yes,No,South,1549
27.512,4613,344,5,72,17,No,No,Yes,West,573
121.709,7818,584,4,50,6,No,No,Yes,South,701
15.079,5673,411,4,28,15,Yes,No,Yes,West,1075
59.879,6906,527,6,78,15,Yes,No,No,South,1032
66.989,5614,430,3,47,14,Yes,No,Yes,South,482
69.165,4668,341,2,34,11,Yes,No,No,East,156
